Start;Slut;CO (185);NO2 (183);NOX as NO2 (184);PM10 (182);PM2.5 (181)
2017-01-01 00:00;2017-01-01 01:00;0.430;34.2;66.7;125.4;72.4
2017-01-01 01:00;2017-01-01 02:00;0.390;39.9;88.9;22.1;14.5
2017-01-01 02:00;2017-01-01 03:00;0.380;33.1;76.4;16.1;7.50
2017-01-01 03:00;2017-01-01 04:00;0.400;29.5;66.2;13.5;5.90
2017-01-01 04:00;2017-01-01 05:00;0.290;26.8;47.0;11.2;5.00
2017-01-01 05:00;2017-01-01 06:00;0.370;21.0;45.5;10.9;6.40
2017-01-01 06:00;2017-01-01 07:00;0.240;8.80;17.5;11.6;5.50
2017-01-01 07:00;2017-01-01 08:00;0.200;4.50;9.50;10.4;5.20
2017-01-01 08:00;2017-01-01 09:00;0.190;2.90;5.10;11.4;6.70
2017-01-01 09:00;2017-01-01 10:00;0.210;4.70;7.40;8.80;6.40
2017-01-01 10:00;2017-01-01 11:00;0.210;7.60;11.2;9.10;6.60
2017-01-01 11:00;2017-01-01 12:00;0.220;15.4;27.1;11.5;5.20
2017-01-01 12:00;2017-01-01 13:00;0.210;29.8;38.3;45.8;2.40
2017-01-01 13:00;2017-01-01 14:00;0.180;18.6;29.0;71.7;6.40
2017-01-01 14:00;2017-01-01 15:00;0.290;27.7;47.9;100.5;8.30
2017-01-01 15:00;2017-01-01 16:00;0.260;29.9;52.2;78.0;8.80
2017-01-01 16:00;2017-01-01 17:00;0.240;29.9;57.4;73.7;7.50
2017-01-01 17:00;2017-01-01 18:00;0.250;30.6;46.5;59.7;8.40
2017-01-01 18:00;2017-01-01 19:00;0.210;27.0;44.3;32.7;9.10
2017-01-01 19:00;2017-01-01 20:00;0.210;31.8;49.8;39.2;7.70
2017-01-01 20:00;2017-01-01 21:00;0.240;25.3;44.6;16.4;5.30
2017-01-01 21:00;2017-01-01 22:00;0.230;20.1;38.8;10.7;5.60
2017-01-01 22:00;2017-01-01 23:00;0.220;10.0;11.1;7.80;6.20
2017-01-01 23:00;2017-01-02 00:00;0.180;4.30;5.40;5.10;2.10
2017-01-02 00:00;2017-01-02 01:00;0.180;5.30;6.10;4.70;2.10
2017-01-02 01:00;2017-01-02 02:00;0.180;2.30;3.30;4.20;3.20
2017-01-02 02:00;2017-01-02 03:00;0.180;2.50;3.30;3.70;0.800
2017-01-02 03:00;2017-01-02 04:00;0.180;4.60;5.70;4.50;1.30
2017-01-02 04:00;2017-01-02 05:00;0.180;2.90;4.70;2.70;-0.700
2017-01-02 05:00;2017-01-02 06:00;0.190;13.9;33.3;3.80;-0.300
2017-01-02 06:00;2017-01-02 07:00;0.200;30.4;54.4;6.10;1.10
2017-01-02 07:00;2017-01-02 08:00;0.250;40.8;94.1;7.30;4.00
2017-01-02 08:00;2017-01-02 09:00;0.200;40.5;81.9;10.0;2.30
2017-01-02 09:00;2017-01-02 10:00;0.210;41.2;78.4;13.2;3.40
2017-01-02 10:00;2017-01-02 11:00;0.210;47.4;130.1;20.2;3.30
2017-01-02 11:00;2017-01-02 12:00;0.210;45.5;85.1;33.7;3.60
2017-01-02 12:00;2017-01-02 13:00;0.290;46.2;105.0;90.2;7.80
2017-01-02 13:00;2017-01-02 14:00;0.210;40.5;64.6;98.1;7.20
2017-01-02 14:00;2017-01-02 15:00;0.250;54.7;127.0;99.8;8.50
2017-01-02 15:00;2017-01-02 16:00;0.260;49.7;101.0;94.7;7.90
2017-01-02 16:00;2017-01-02 17:00;0.280;43.3;83.8;81.8;6.00
2017-01-02 17:00;2017-01-02 18:00;0.290;37.2;57.9;81.7;5.60
2017-01-02 18:00;2017-01-02 19:00;0.220;29.6;50.7;67.0;6.70
2017-01-02 19:00;2017-01-02 20:00;0.270;24.0;43.2;50.4;6.30
2017-01-02 20:00;2017-01-02 21:00;0.210;20.7;38.0;38.1;3.70
2017-01-02 21:00;2017-01-02 22:00;0.240;21.6;38.8;30.2;2.80
2017-01-02 22:00;2017-01-02 23:00;0.220;18.7;28.2;19.8;3.60
2017-01-02 23:00;2017-01-03 00:00;0.210;16.6;28.9;17.3;2.90
2017-01-03 00:00;2017-01-03 01:00;0.210;11.6;19.1;17.2;2.80
2017-01-03 01:00;2017-01-03 02:00;0.200;10.2;15.4;13.2;2.90
2017-01-03 02:00;2017-01-03 03:00;0.200;13.9;20.5;14.2;2.70
2017-01-03 03:00;2017-01-03 04:00;0.210;9.60;25.1;13.4;3.40
2017-01-03 04:00;2017-01-03 05:00;0.210;8.60;16.3;14.2;2.10
2017-01-03 05:00;2017-01-03 06:00;0.220;20.5;43.9;18.6;2.30
2017-01-03 06:00;2017-01-03 07:00;0.320;62.1;125.8;53.2;4.00
2017-01-03 07:00;2017-01-03 08:00;0.340;72.7;178.5;63.0;4.90
2017-01-03 08:00;2017-01-03 09:00;0.360;88.4;292.1;37.1;5.70
2017-01-03 09:00;2017-01-03 10:00;0.450;89.5;295.8;50.7;5.60
