Start;Slut;BC (409);Black Carbon (4783);CO (113);NO2 (115);NOX as NO2 (114);O3 (537);PM10 (116);PM2.5 (111)
2017-01-01 00:00;2017-01-01 01:00;1.65;;0.350;66.4;155.9;21.3;71.5;25.2
2017-01-01 01:00;2017-01-01 02:00;1.15;;0.290;63.7;141.4;16.0;30.1;11.0
2017-01-01 02:00;2017-01-01 03:00;0.654;;0.330;67.0;163.6;17.8;21.4;7.00
2017-01-01 03:00;2017-01-01 04:00;0.426;;0.250;49.4;78.9;27.8;14.5;4.30
2017-01-01 04:00;2017-01-01 05:00;0.277;;0.280;28.0;44.2;40.3;9.30;2.50
2017-01-01 05:00;2017-01-01 06:00;0.279;;0.250;31.3;67.4;35.9;14.2;3.40
2017-01-01 06:00;2017-01-01 07:00;0.351;;0.230;17.9;33.4;41.9;15.8;4.00
2017-01-01 07:00;2017-01-01 08:00;0.250;;0.200;6.10;8.90;44.8;11.6;4.20
2017-01-01 08:00;2017-01-01 09:00;0.176;;0.210;9.90;16.8;46.3;13.1;4.10
2017-01-01 09:00;2017-01-01 10:00;0.379;;0.220;10.4;20.2;47.3;12.4;3.90
2017-01-01 10:00;2017-01-01 11:00;0.299;;0.230;18.3;34.0;40.1;11.7;3.70
2017-01-01 11:00;2017-01-01 12:00;0.332;;0.200;15.3;25.0;43.7;9.60;2.80
2017-01-01 12:00;2017-01-01 13:00;0.648;;0.170;30.5;57.0;43.3;12.6;2.10
2017-01-01 13:00;2017-01-01 14:00;0.345;;0.220;28.7;61.0;45.4;33.8;2.90
2017-01-01 14:00;2017-01-01 15:00;0.432;;0.260;38.7;75.5;33.6;44.6;3.50
2017-01-01 15:00;2017-01-01 16:00;0.490;;0.200;40.1;70.7;36.3;53.2;4.00
2017-01-01 16:00;2017-01-01 17:00;0.479;;0.240;33.5;67.8;38.2;54.7;4.80
2017-01-01 17:00;2017-01-01 18:00;1.15;;0.280;37.5;80.8;44.0;52.0;6.20
2017-01-01 18:00;2017-01-01 19:00;0.910;;0.210;25.5;47.6;45.0;43.1;7.30
2017-01-01 19:00;2017-01-01 20:00;0.872;;0.250;27.8;58.6;47.8;28.7;6.00
2017-01-01 20:00;2017-01-01 21:00;0.501;;0.280;24.9;62.7;48.9;15.5;4.30
2017-01-01 21:00;2017-01-01 22:00;0.549;;0.200;14.0;25.6;51.6;11.5;3.60
2017-01-01 22:00;2017-01-01 23:00;0.333;;0.240;14.2;28.8;57.2;8.70;2.60
2017-01-01 23:00;2017-01-02 00:00;0.215;;0.230;14.9;26.9;60.0;8.00;2.10
2017-01-02 00:00;2017-01-02 01:00;0.157;;0.100;4.70;6.90;62.3;6.80;1.40
2017-01-02 01:00;2017-01-02 02:00;0.0897;;0.0900;18.8;47.7;58.4;6.40;1.30
2017-01-02 02:00;2017-01-02 03:00;0.0730;;0.120;4.50;6.40;60.2;6.00;1.50
2017-01-02 03:00;2017-01-02 04:00;0.0727;;0.160;3.10;4.70;61.2;6.30;1.80
2017-01-02 04:00;2017-01-02 05:00;0.0950;;0.0600;4.00;15.9;55.6;4.60;1.20
2017-01-02 05:00;2017-01-02 06:00;0.170;;0.110;19.0;37.7;52.1;6.00;1.00
2017-01-02 06:00;2017-01-02 07:00;0.400;;0.120;41.9;82.8;35.0;9.10;1.20
2017-01-02 07:00;2017-01-02 08:00;0.512;;0.120;40.9;83.9;31.4;10.8;1.60
2017-01-02 08:00;2017-01-02 09:00;0.528;;0.160;55.1;133.0;28.8;14.1;1.80
2017-01-02 09:00;2017-01-02 10:00;0.493;;0.210;45.5;97.8;32.6;10.7;1.90
2017-01-02 10:00;2017-01-02 11:00;0.583;;0.120;37.2;81.7;37.2;13.4;2.10
2017-01-02 11:00;2017-01-02 12:00;0.481;;0.150;41.4;92.4;39.1;17.7;2.40
2017-01-02 12:00;2017-01-02 13:00;0.495;;0.180;37.1;86.4;38.8;33.4;3.10
2017-01-02 13:00;2017-01-02 14:00;0.727;;0.160;59.3;138.0;33.2;72.9;5.50
2017-01-02 14:00;2017-01-02 15:00;0.740;;0.170;72.3;157.0;26.1;79.3;6.20
2017-01-02 15:00;2017-01-02 16:00;0.888;;0.120;47.4;101.8;31.0;78.6;6.20
2017-01-02 16:00;2017-01-02 17:00;1.51;;0.190;51.3;115.1;33.0;81.7;7.30
2017-01-02 17:00;2017-01-02 18:00;0.732;;0.130;34.0;63.7;42.8;87.3;6.90
2017-01-02 18:00;2017-01-02 19:00;0.599;;0.200;32.8;66.1;46.6;83.8;6.90
2017-01-02 19:00;2017-01-02 20:00;0.403;;0.110;28.3;64.5;47.9;76.8;7.10
2017-01-02 20:00;2017-01-02 21:00;0.399;;0.100;31.7;72.3;49.8;55.6;5.60
2017-01-02 21:00;2017-01-02 22:00;0.321;;0.170;32.3;61.0;48.7;49.4;5.50
2017-01-02 22:00;2017-01-02 23:00;0.307;;0.200;27.5;59.1;51.7;31.7;4.60
2017-01-02 23:00;2017-01-03 00:00;0.325;;0.200;22.4;47.9;54.7;21.1;3.20
2017-01-03 00:00;2017-01-03 01:00;0.245;;0.130;29.7;52.0;52.3;24.5;3.80
2017-01-03 01:00;2017-01-03 02:00;0.186;;0.100;20.5;37.6;50.1;28.7;3.70
2017-01-03 02:00;2017-01-03 03:00;0.257;;0.0900;9.60;17.8;54.9;16.1;2.50
2017-01-03 03:00;2017-01-03 04:00;0.153;;0.0800;17.3;37.0;57.4;9.80;1.70
2017-01-03 04:00;2017-01-03 05:00;0.135;;0.0700;10.7;19.6;55.8;8.80;1.40
2017-01-03 05:00;2017-01-03 06:00;0.226;;0.0800;20.3;31.9;49.6;13.3;1.80
2017-01-03 06:00;2017-01-03 07:00;0.716;;0.130;65.6;149.4;22.8;24.9;2.90
2017-01-03 07:00;2017-01-03 08:00;1.21;;0.190;117.2;507.0;11.1;27.2;3.40
2017-01-03 08:00;2017-01-03 09:00;2.07;;0.260;95.3;280.2;8.10;50.9;6.90
2017-01-03 09:00;2017-01-03 10:00;1.36;;0.250;81.7;266.2;9.40;36.2;5.80
2017-01-03 10:00;2017-01-03 11:00;1.33;;0.200;71.5;207.9;10.0;53.4;7.20
2017-01-03 11:00;2017-01-03 12:00;0.916;;0.190;59.8;151.7;13.5;41.6;6.40
2017-01-03 12:00;2017-01-03 13:00;0.774;;0.180;69.5;189.3;17.6;34.3;5.00
2017-01-03 13:00;2017-01-03 14:00;0.868;;0.150;48.9;78.2;24.9;22.5;3.80
2017-01-03 14:00;2017-01-03 15:00;0.693;;0.160;54.5;108.7;27.7;14.0;2.90
2017-01-03 15:00;2017-01-03 16:00;0.657;;0.140;45.8;59.8;29.3;10.9;2.60
2017-01-03 16:00;2017-01-03 17:00;0.609;;0.180;37.4;42.5;38.2;12.8;2.90
2017-01-03 17:00;2017-01-03 18:00;0.547;;0.140;28.6;31.7;46.5;9.40;3.00
2017-01-03 18:00;2017-01-03 19:00;0.285;;0.130;15.4;16.3;57.9;3.70;1.90
2017-01-03 19:00;2017-01-03 20:00;0.245;;0.150;9.10;10.8;61.6;2.30;1.30
2017-01-03 20:00;2017-01-03 21:00;0.117;;0.130;8.70;8.50;62.3;1.50;1.10
2017-01-03 21:00;2017-01-03 22:00;0.0860;;0.150;4.20;5.10;67.7;1.60;0.700
2017-01-03 22:00;2017-01-03 23:00;0.111;;0.150;4.30;6.20;68.8;3.20;0.700
2017-01-03 23:00;2017-01-04 00:00;0.114;;0.160;5.10;6.60;67.2;4.10;0.800
2017-01-04 00:00;2017-01-04 01:00;0.130;;0.180;4.00;4.90;67.2;5.70;0.600
2017-01-04 01:00;2017-01-04 02:00;0.314;;0.180;6.70;10.2;65.4;5.70;0.600
2017-01-04 02:00;2017-01-04 03:00;0.246;;0.110;13.2;31.5;66.6;7.80;1.00
2017-01-04 03:00;2017-01-04 04:00;0.108;;0.170;8.30;20.4;68.5;6.40;0.800
2017-01-04 04:00;2017-01-04 05:00;0.158;;0.160;8.90;15.4;67.9;7.00;1.10
2017-01-04 05:00;2017-01-04 06:00;0.200;;0.170;10.6;20.1;64.2;7.80;1.30
2017-01-04 06:00;2017-01-04 07:00;0.595;;0.170;33.8;93.5;54.5;9.10;1.60
2017-01-04 07:00;2017-01-04 08:00;0.486;;0.180;29.3;58.4;47.4;8.90;1.80
2017-01-04 08:00;2017-01-04 09:00;0.756;;0.230;59.3;191.8;35.9;11.4;2.30
2017-01-04 09:00;2017-01-04 10:00;0.801;;0.150;51.8;231.3;34.4;13.8;4.20
2017-01-04 10:00;2017-01-04 11:00;1.17;;0.210;48.9;113.9;33.2;13.0;4.50
2017-01-04 11:00;2017-01-04 12:00;0.851;;0.180;49.9;125.9;30.4;14.0;4.10
2017-01-04 12:00;2017-01-04 13:00;1.03;;0.210;52.4;155.3;33.4;14.8;3.50
2017-01-04 13:00;2017-01-04 14:00;0.828;;0.200;42.6;116.1;37.6;15.0;3.20
2017-01-04 14:00;2017-01-04 15:00;0.772;;0.220;57.3;169.9;43.8;13.3;2.90
2017-01-04 15:00;2017-01-04 16:00;0.790;;0.180;60.6;156.1;44.2;12.0;2.60
2017-01-04 16:00;2017-01-04 17:00;0.802;;0.190;49.2;117.9;44.7;11.4;3.00
2017-01-04 17:00;2017-01-04 18:00;0.693;;0.240;42.2;111.1;51.5;11.5;2.60
2017-01-04 18:00;2017-01-04 19:00;0.836;;0.390;30.0;80.9;56.3;11.8;3.10
2017-01-04 19:00;2017-01-04 20:00;0.553;;0.120;25.3;55.0;61.6;10.9;2.80
2017-01-04 20:00;2017-01-04 21:00;0.534;;0.0800;20.1;41.1;69.3;13.2;2.70
2017-01-04 21:00;2017-01-04 22:00;0.432;;0.120;14.7;22.2;69.9;10.7;2.00
2017-01-04 22:00;2017-01-04 23:00;0.423;;0.120;19.1;45.0;71.1;12.9;2.20
2017-01-04 23:00;2017-01-05 00:00;0.688;;0.130;33.7;80.0;59.0;10.6;2.10
2017-01-05 00:00;2017-01-05 01:00;1.26;;0.110;23.8;65.8;58.8;11.0;2.30
2017-01-05 01:00;2017-01-05 02:00;0.362;;0.200;36.2;93.4;52.8;11.5;2.30
2017-01-05 02:00;2017-01-05 03:00;0.140;;0.130;19.5;31.7;66.0;9.50;2.30
2017-01-05 03:00;2017-01-05 04:00;0.341;;0.200;7.60;10.2;70.7;10.1;1.40
2017-01-05 04:00;2017-01-05 05:00;0.204;;0.210;15.8;26.9;69.8;8.00;1.10
2017-01-05 05:00;2017-01-05 06:00;0.124;;0.170;16.6;29.2;67.0;8.40;1.00
2017-01-05 06:00;2017-01-05 07:00;0.482;;0.180;30.9;82.9;59.2;8.20;1.20
2017-01-05 07:00;2017-01-05 08:00;0.502;;;;;56.4;11.3;1.50
2017-01-05 08:00;2017-01-05 09:00;0.599;;0.200;50.6;121.3;48.9;9.60;1.60
2017-01-05 09:00;2017-01-05 10:00;0.540;;0.240;58.4;145.3;41.7;11.9;2.00
2017-01-05 10:00;2017-01-05 11:00;0.870;;0.170;77.7;262.7;33.6;12.6;3.10
2017-01-05 11:00;2017-01-05 12:00;0.848;;0.180;70.0;230.1;30.5;13.6;2.60
2017-01-05 12:00;2017-01-05 13:00;1.08;;0.230;92.8;267.8;22.6;14.8;3.20
2017-01-05 13:00;2017-01-05 14:00;0.863;;0.260;87.3;264.7;21.0;14.2;3.50
2017-01-05 14:00;2017-01-05 15:00;1.56;;0.220;85.7;279.6;19.6;15.9;3.80
2017-01-05 15:00;2017-01-05 16:00;0.871;;0.240;69.9;171.8;21.7;15.6;4.90
2017-01-05 16:00;2017-01-05 17:00;1.22;;0.210;62.3;156.7;23.8;14.5;5.90
2017-01-05 17:00;2017-01-05 18:00;1.21;;0.280;75.0;186.2;18.0;13.7;5.50
2017-01-05 18:00;2017-01-05 19:00;1.17;;;;;17.2;14.9;6.00
2017-01-05 19:00;2017-01-05 20:00;0.840;;0.270;66.6;152.3;23.5;14.4;5.90
2017-01-05 20:00;2017-01-05 21:00;1.82;;0.270;68.3;148.9;22.5;16.8;9.40
2017-01-05 21:00;2017-01-05 22:00;1.67;;0.320;63.5;148.6;21.9;16.4;9.80
2017-01-05 22:00;2017-01-05 23:00;2.75;;0.250;45.7;129.2;33.6;17.5;6.00
2017-01-05 23:00;2017-01-06 00:00;1.03;;0.290;51.5;128.1;25.1;14.5;7.20
2017-01-06 00:00;2017-01-06 01:00;1.18;;0.260;40.0;84.9;32.4;11.2;5.50
2017-01-06 01:00;2017-01-06 02:00;0.437;;0.250;32.9;58.4;36.6;10.1;4.50
2017-01-06 02:00;2017-01-06 03:00;0.341;;0.190;18.5;35.6;45.5;9.70;4.20
2017-01-06 03:00;2017-01-06 04:00;0.305;;0.220;32.3;68.4;50.1;8.40;3.80
2017-01-06 04:00;2017-01-06 05:00;0.743;;0.270;45.7;53.2;26.4;10.0;5.00
2017-01-06 05:00;2017-01-06 06:00;0.892;;0.230;45.8;74.1;20.7;11.7;6.20
2017-01-06 06:00;2017-01-06 07:00;0.878;;0.270;54.9;74.1;16.2;11.1;5.70
2017-01-06 07:00;2017-01-06 08:00;0.774;;0.280;49.8;90.0;22.7;11.3;5.20
2017-01-06 08:00;2017-01-06 09:00;0.850;;0.230;53.5;85.4;22.1;11.2;5.40
2017-01-06 09:00;2017-01-06 10:00;1.13;;0.230;49.4;97.6;31.6;12.8;6.30
2017-01-06 10:00;2017-01-06 11:00;1.49;;0.340;61.1;150.8;23.9;13.7;7.30
2017-01-06 11:00;2017-01-06 12:00;1.03;;0.250;48.9;98.3;33.0;10.4;6.20
2017-01-06 12:00;2017-01-06 13:00;0.875;;0.220;49.9;86.2;31.5;9.40;5.60
2017-01-06 13:00;2017-01-06 14:00;1.06;;0.280;62.8;120.6;25.7;10.9;5.70
2017-01-06 14:00;2017-01-06 15:00;1.06;;0.250;42.6;66.1;34.2;9.60;4.80
2017-01-06 15:00;2017-01-06 16:00;0.736;;0.230;48.9;87.4;32.0;9.50;4.50
2017-01-06 16:00;2017-01-06 17:00;1.06;;0.240;31.6;60.7;35.4;9.70;4.40
2017-01-06 17:00;2017-01-06 18:00;0.772;;0.230;21.9;26.8;42.0;8.30;4.80
2017-01-06 18:00;2017-01-06 19:00;0.630;;0.330;21.9;34.1;48.9;8.00;4.60
